incident_id,opened_at,resolved_at,service,ci_id,category,subcategory,priority,short_description,resolution_notes,assigned_team,environment,error_code,related_change
INC01019,2026-01-03 06:43,2026-01-03 08:43,account-ledger,CI-1031,Database,Connection Pool,P1-Critical,account-ledger: max_connections reached; new requests queued then timing out,Terminated month-end report batch; connections restored to normal,DBA-Team,Production,ERR-3200,
INC01102,2026-01-05 14:54,2026-01-05 23:54,reporting-engine,CI-1044,Software,Performance,P3-Medium,Scheduled report failed to generate,Applied configuration change; monitoring,DevOps,Production,ERR-3159,
INC01001,2026-01-06 22:01,2026-01-07 01:01,payment-gateway,CI-1042,Application,Memory,P2-High,Payment service heap exhaustion - 503 errors to mobile app,Scaled up payment-gateway replicas; memory stabilized after restart,Platform-Ops,Production,ERR-5012,CHG0042
INC01117,2026-01-07 16:10,2026-01-08 04:10,fraud-detection,CI-1055,Database,Access,P3-Medium,False positive rate spike on fraud rules,Network team resolved connectivity issue,Platform-Ops,Production,ERR-8138,CHG0151
INC01089,2026-01-08 07:20,2026-01-08 13:20,notification-service,CI-1067,Hardware,Configuration,P3-Medium,Email notification queue backlog,Cleared cache; service recovered,App-Support,Staging,ERR-3950,
INC01061,2026-01-08 13:12,2026-01-08 16:12,payment-gateway,CI-1042,Hardware,Timeout,P2-High,Payment gateway SSL cert warning,Rolled back recent change; service stable,DevOps,Production,ERR-4571,
INC01088,2026-01-09 08:15,2026-01-09 13:15,kyc-service,CI-1091,Application,Error,P2-High,KYC check returning incorrect risk score,Applied configuration change; monitoring,Network-Ops,Production,ERR-2646,
INC01080,2026-01-09 20:05,2026-01-10 02:05,kyc-service,CI-1091,Network,Configuration,P1-Critical,ID verification API rate limited,Increased resource allocation; performance improved,Platform-Ops,Staging,ERR-7770,
INC01137,2026-01-10 17:34,2026-01-10 20:34,mobile-api,CI-1088,Network,Error,P4-Low,Mobile API returning stale account balances,Rolled back recent change; service stable,DevOps,Production,ERR-3209,CHG0017
INC01109,2026-01-11 15:38,2026-01-11 17:38,fraud-detection,CI-1055,Network,Configuration,P2-High,False positive rate spike on fraud rules,Rolled back recent change; service stable,App-Support,Production,ERR-6736,
INC01130,2026-01-11 21:55,2026-01-11 23:55,notification-service,CI-1067,Network,Timeout,P1-Critical,Email notification queue backlog,Applied configuration change; monitoring,App-Support,Production,ERR-8361,
INC01036,2026-01-12 07:47,2026-01-12 08:47,web-portal,CI-1023,Network,General,P4-Low,JavaScript error on account summary page,Restarted service; issue resolved,Security-Ops,Production,ERR-4044,
INC01010,2026-01-13 00:05,2026-01-13 02:05,auth-service,CI-1015,Application,Authentication,P1-Critical,JWT signature mismatch causing mass login failures,Applied hotfix to token validation; monitoring stable,Security-Ops,Production,ERR-4401,CHG0091
INC01009,2026-01-13 02:36,2026-01-13 04:36,auth-service,CI-1015,Application,Authentication,P3-Medium,OAuth token validation failing - users unable to login,Rolled back auth-service to v2.13.9; logins restored,DevOps,Production,ERR-4401,CHG0079
INC01072,2026-01-13 18:31,2026-01-14 05:31,auth-service,CI-1015,Hardware,Timeout,P1-Critical,Password reset emails delayed,Cleared cache; service recovered,Security-Ops,Production,ERR-2395,
INC01002,2026-01-13 22:43,2026-01-14 01:43,payment-gateway,CI-1042,Application,Memory,P1-Critical,Heap overflow on payment gateway - customer payments rejected,Restarted service; heap usage dropped; transactions resumed,Platform-Ops,Production,ERR-5012,CHG0042
INC01141,2026-01-15 16:42,2026-01-16 00:42,auth-service,CI-1015,Network,Configuration,P4-Low,Password reset emails delayed,Rolled back recent change; service stable,DBA-Team,Staging,ERR-1693,
